Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Experimental Condition [Condition],Source Name,Assay Name,Comment [Image File Type],Channels
Rep1_HNRNPC_NUP,AC16_Rep1_18d24h37d2h_HNRNPC488_NUP594_01_SIR_THR_ALN.tif,Homo sapiens,NCBITaxon,9606,AC16,,,"18°C 24h, 37°C 2h",3D-SIM,Rep1,Reconstructed image,"hnRNPC, Nuclear Pore Complex, DAPI"
Rep1_HNRNPC_NUP,AC16_Rep1_18d24h37d2h_HNRNPC488_NUP594_02_SIR_THR_ALN.tif,Homo sapiens,NCBITaxon,9606,AC16,,,"18°C 24h, 37°C 2h",3D-SIM,Rep1,Reconstructed image,"hnRNPC, Nuclear Pore Complex, DAPI"
Rep1_HNRNPC_NUP,AC16_Rep1_18d24h37d2h_HNRNPC488_NUP594_03_SIR_THR_ALN.tif,Homo sapiens,NCBITaxon,9606,AC16,,,"18°C 24h, 37°C 2h",3D-SIM,Rep1,Reconstructed image,"hnRNPC, Nuclear Pore Complex, DAPI"
Rep1_HNRNPC_NUP,AC16_Rep1_18d24h37d2h_HNRNPC488_NUP594_04_SIR_THR_ALN.tif,Homo sapiens,NCBITaxon,9606,AC16,,,"18°C 24h, 37°C 2h",3D-SIM,Rep1,Reconstructed image,"hnRNPC, Nuclear Pore Complex, DAPI"
Rep1_HNRNPC_NUP,AC16_Rep1_18d24h37d2h_HNRNPC488_NUP594_05_SIR_THR_ALN.tif,Homo sapiens,NCBITaxon,9606,AC16,,,"18°C 24h, 37°C 2h",3D-SIM,Rep1,Reconstructed image,"hnRNPC, Nuclear Pore Complex, DAPI"
Rep1_HNRNPC_NUP,AC16_Rep1_18d24h37d2h_HNRNPC488_NUP594_06_SIR_THR_ALN.tif,Homo sapiens,NCBITaxon,9606,AC16,,,"18°C 24h, 37°C 2h",3D-SIM,Rep1,Reconstructed image,"hnRNPC, Nuclear Pore Complex, DAPI"
Rep1_HNRNPC_NUP,AC16_Rep1_18d24h37d2h_HNRNPC488_NUP594_07_SIR_THR_ALN.tif,Homo sapiens,NCBITaxon,9606,AC16,,,"18°C 24h, 37°C 2h",3D-SIM,Rep1,Reconstructed image,"hnRNPC, Nuclear Pore Complex, DAPI"
Rep1_HNRNPC_NUP,AC16_Rep1_18d24h37d2h_HNRNPC488_NUP594_08_SIR_THR_ALN.tif,Homo sapiens,NCBITaxon,9606,AC16,,,"18°C 24h, 37°C 2h",3D-SIM,Rep1,Reconstructed image,"hnRNPC, Nuclear Pore Complex, DAPI"
Rep1_HNRNPC_NUP,AC16_Rep1_18d24h37d2h_HNRNPC488_NUP594_09_SIR_THR_ALN.tif,Homo sapiens,NCBITaxon,9606,AC16,,,"18°C 24h, 37°C 2h",3D-SIM,Rep1,Reconstructed image,"hnRNPC, Nuclear Pore Complex, DAPI"
Rep1_HNRNPC_NUP,AC16_Rep1_18d24h37d2h_HNRNPC488_NUP594_10_SIR_THR_ALN.tif,Homo sapiens,NCBITaxon,9606,AC16,,,"18°C 24h, 37°C 2h",3D-SIM,Rep1,Reconstructed image,"hnRNPC, Nuclear Pore Complex, DAPI"
